Sample	Species	RelativeAbundance	Type	Sample_type	Sampling place specific details	Location	Sampling_day	Individual
SL336634	Chryseobacterium_taklimakanense	5.522074027592633	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336634	Cutibacterium_acnes	3.4504586816047276	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336634	Dermacoccus_nishinomiyaensis	0.02175751875994756	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336634	Gordonia_bronchialis	0.01418968614779188	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336634	Janibacter_indicus	0.39502509603658414	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336634	Micrococcus_luteus	45.063211110208925	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336634	Minor/Unclassified	23.60336043300615	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336634	Moraxella_osloensis	6.689727534376486	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336634	Xanthomonas_campestris	0.08529578006617124	Skin	Left palm	residence 1 left palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Brevundimonas_diminuta	10.012165945829526	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Chryseobacterium_taklimakanense	3.854683889144367	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Cutibacterium_acnes	10.122183350699396	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Dermacoccus_nishinomiyaensis	0.03579931428305324	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Gordonia_bronchialis	0.02706777421401586	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Janibacter_indicus	0.7683755260752891	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Micrococcus_luteus	44.27240076604711	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Minor/Unclassified	26.05520661734316	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Moraxella_osloensis	4.585222741587161	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336641	Xanthomonas_campestris	0.26689407477690913	Skin	Right palm	residence 1 right palm day 6 day	Residence 1	Day 6 day	Subject_1
SL336644	Brevundimonas_diminuta	4.271854172371432	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336644	Chryseobacterium_taklimakanense	2.107727748901545	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336644	Cutibacterium_acnes	6.389253854328127	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336644	Dermacoccus_nishinomiyaensis	0.03843651318020695	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336644	Gordonia_bronchialis	0.02600117068072823	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336644	Janibacter_indicus	1.885273288633092	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336644	Micrococcus_luteus	47.21762351812168	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336644	Minor/Unclassified	33.98792641291868	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336644	Moraxella_osloensis	3.6612662946950074	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336644	Xanthomonas_campestris	0.41463702616948744	Skin	Left palm	residence 1 left palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Brevundimonas_diminuta	2.5529631514755735	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Chryseobacterium_taklimakanense	1.3012705394270567	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Cutibacterium_acnes	6.122934052953548	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Dermacoccus_nishinomiyaensis	0.0339722843780311	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Gordonia_bronchialis	0.0277300271778275	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Janibacter_indicus	1.6635615438542577	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Micrococcus_luteus	32.15938883500274	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Minor/Unclassified	53.46757387471309	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Moraxella_osloensis	2.416113666701879	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336650	Xanthomonas_campestris	0.25449202431599266	Skin	Right palm	residence 1 right palm day 9 day	Residence 1	Day 9 day	Subject_1
SL336655	Brevundimonas_diminuta	6.473109460469485	Skin	Left palm	residence 1 left palm day 8 day	Residence 1	Day 8 day	Subject_1
